No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(s^-1),
1,1S-2S,1215.66962039,0.00000,82259.19141,2,2,0.24946E-05,
2,1S-3S,1025.72010424,0.00000,97492.48317,2,2,0.11087E-05,
3,1S-4S,972.53445551,0.00000,102824.12045,2,2,0.53028E-06,
4,1S-5S,949.74066867,0.00000,105291.90051,2,2,0.28705E-06,
5,1S-6S,937.80108953,0.00000,106632.42037,2,2,0.17111E-06,
6,1S-7S,930.74589408,0.00000,107440.71033,2,2,0.10968E-06,
7,1S-8S,926.22333806,0.00000,107965.32099,2,2,0.74316E-07,
8,1S-9S,923.14800278,0.00000,108324.99198,2,2,0.52601E-07,
9,1S-10S,920.96073387,0.00000,108582.26233,2,2,0.38560E-07,
10,1S-11S,919.34906304,0.00000,108772.61317,2,2,0.29089E-07,
11,1S-12S,918.12702755,0.00000,108917.39051,2,2,0.22476E-07,
12,1S-13S,917.17824266,0.00000,109030.06128,2,2,0.17720E-07,
13,1S-14S,916.42680532,0.00000,109119.46204,2,2,0.14215E-07,
14,1S-15S,915.82148100,0.00000,109191.58600,2,2,0.11575E-07,
15,1S-16S,915.32666229,0.00000,109250.61415,2,2,0.95498E-08,
16,1S-17S,914.91697378,0.00000,109299.53522,2,2,0.79701E-08,
17,1S-18S,914.57393325,0.00000,109340.53155,2,2,0.67200E-08,
18,1S-19S,914.28381903,0.00000,109375.22673,2,2,0.57185E-08,
19,1S-20S,914.03626988,0.00000,109404.84890,2,2,0.49051E-08,
20,1S-21S,913.82334303,0.00000,109430.34095,2,2,0.42400E-08,
21,1S-22S,913.63886666,0.00000,109452.43646,2,2,0.36888E-08,
22,1S-23S,913.47798614,0.00000,109471.71308,2,2,0.32381E-08,
23,1S-24S,913.33684031,0.00000,109488.63069,2,2,0.28493E-08,
24,1S-25S,913.21232706,0.00000,109503.55907,2,2,0.25791E-08,
25,1S-3d,1025.71896628,0.00000,97492.59133,2,4,0.69290E-08*,
26,1S-4d,972.53402393,0.00000,102824.16609,2,4,0.43210E-08*,
27,1S-5d,949.74045794,0.00000,105291.92388,2,4,0.25793E-08*,
28,1S-6d,937.80097063,0.00000,106632.43389,2,4,0.16136E-08*,
29,1S-7d,930.74582032,0.00000,107440.71885,2,4,0.10633E-08*,
30,1S-8d,926.22328913,0.00000,107965.32669,2,4,0.73312E-09*,
31,1S-9d,923.14796864,0.00000,108324.99599,2,4,0.52503E-09*,
32,1S-10d,920.96070910,0.00000,108582.26525,2,4,0.38806E-09*,
33,1S-11d,919.34904449,0.00000,108772.61536,2,4,0.29453E-09*,
34,1S-12d,918.12701330,0.00000,108917.39220,2,4,0.22861E-09*,
35,1S-13d,917.17823148,0.00000,109030.06261,2,4,0.18088E-09*,
36,1S-14d,916.42679638,0.00000,109119.46311,2,4,0.14551E-09*,
37,1S-15d,915.82147375,0.00000,109191.58686,2,4,0.11875E-09*,
38,1S-16d,915.32665631,0.00000,109250.61486,2,4,0.98152E-10*,
39,1S-17d,914.91696881,0.00000,109299.53582,2,4,0.82041E-10*,
40,1S-18d,914.57392906,0.00000,109340.53205,2,4,0.69261E-10*,
41,1S-19d,914.28381547,0.00000,109375.22715,2,4,0.58998E-10*,
42,1S-20d,914.03626683,0.00000,109404.84927,2,4,0.50653E-10*,
43,1S-21d,913.82334039,0.00000,109430.34127,2,4,0.43835E-10*,
44,1S-22d,913.63886437,0.00000,109452.43673,2,4,0.38161E-10*,
45,1S-23d,913.47798413,0.00000,109471.71332,2,4,0.33341E-10*,
46,1S-24d,913.33683854,0.00000,109488.63090,2,4,0.29433E-10*,
47,1S-25d,913.21232550,0.00000,109503.55926,2,4,0.26912E-10*,
48,2S-3S,6564.56933941,82259.19141,97492.48317,2,2,0.18769E-08,
49,2S-4S,4862.64746171,82259.19141,102824.12045,2,2,0.16174E-08,
50,2S-5S,4341.65167316,82259.19141,105291.90051,2,2,0.10815E-08,
51,2S-6S,4102.86220969,82259.19141,106632.42037,2,2,0.71477E-09,
52,2S-7S,3971.16632712,82259.19141,107440.71033,2,2,0.48587E-09,
