No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(10^8s^-1),fik,S(a.u.),log(gf),
47,2P-6D,4102.92062530,82259.55646,106632.43839,4,6,0.51450E-01*,0.19466E-01,1.0512,-0.93257,
48,2P-7D,3971.22210540,82259.55646,107440.72169,4,6,0.31311E-01*,0.11098E-01,0.58006,-1.17660,
49,3S-4p,18755.96456799,97492.48317,102824.12045,2,2,0.30652E-01,0.16157,19.942,-0.49061,
50,3S-5p,12821.47057842,97492.48317,105291.90051,2,2,0.16378E-01,0.40341E-01,3.4037,-1.09322,
51,3S-6p,10940.99421511,97492.48317,106632.42037,2,2,0.95511E-02,0.17131E-01,1.2334,-1.46518,
52,3S-7p,10052.04227385,97492.48317,107440.71033,2,2,0.60255E-02,0.91228E-02,0.60346,-1.73884,
53,3S-3P,924549772.08800,97492.48317,97492.59133,2,4,0.13859E-14*,0.35502E-04,216.00,-3.84769,
54,3S-4P,18755.80404838,97492.48317,102824.16609,2,4,0.30650E-01*,0.32312,39.881,0.11142,
55,3S-5P,12821.43217262,97492.48317,105291.92388,2,4,0.16377E-01*,0.80678E-01,6.8071,-0.49118,
56,3S-6P,10940.97803091,97492.48317,106632.43389,2,4,0.95508E-02*,0.34261E-01,2.4668,-0.86314,
57,3S-7P,10052.03367093,97492.48317,107440.71885,2,4,0.60254E-02*,0.18245E-01,1.2069,-1.13680,
58,3p-4S,18755.96456799,97492.48317,102824.12045,2,2,0.61182E-02,0.32250E-01,3.9805,-1.19044,
59,3p-5S,12821.47057842,97492.48317,105291.90051,2,2,0.30157E-02,0.74283E-02,0.62675,-1.82808,
60,3p-6S,10940.99421511,97492.48317,106632.42037,2,2,0.16906E-02,0.30323E-02,0.21832,-2.21719,
61,3p-7S,10052.04227385,97492.48317,107440.71033,2,2,0.10428E-02,0.15787E-02,0.10443,-2.50066,
62,3p-3d,924549772.08800,97492.48317,97492.59133,2,4,0.86620E-15*,0.22189E-04,135.00,-4.05181,
63,3p-4d,18755.80404838,97492.48317,102824.16609,2,4,0.58647E-01*,0.61825,76.308,0.39323,
64,3p-5d,12821.43217262,97492.48317,105291.92388,2,4,0.28263E-01*,0.13923,11.747,-0.25420,
65,3p-6d,10940.97803091,97492.48317,106632.43389,2,4,0.15649E-01*,0.56135E-01,4.0417,-0.64870,
66,3p-7d,10052.03367093,97492.48317,107440.71885,2,4,0.95800E-02*,0.29008E-01,1.9189,-0.93542,
67,3P-4S,18756.34507032,97492.59133,102824.12045,4,2,0.12238E-01*,0.32254E-01,7.9622,-1.19038,
68,3P-5S,12821.64838647,97492.59133,105291.90051,4,2,0.60320E-02*,0.74292E-02,1.2537,-1.82803,
69,3P-6S,10941.12369086,97492.59133,106632.42037,4,2,0.33815E-02*,0.30327E-02,0.43670,-2.21714,
70,3P-7S,10052.15156451,97492.59133,107440.71033,4,2,0.20857E-02*,0.15789E-02,0.20889,-2.50061,
71,3P-4d,18756.18454419,97492.59133,102824.16609,4,4,0.11729E-01*,0.61828E-01,15.263,-0.60675,
72,3P-5d,12821.60997960,97492.59133,105291.92388,4,4,0.56525E-02*,0.13923E-01,2.3496,-1.25420,
73,3P-6d,10941.10750628,97492.59133,106632.43389,4,4,0.31296E-02*,0.56136E-02,0.80835,-1.64870,
74,3P-7d,10052.14296140,97492.59133,107440.71885,4,4,0.19159E-02*,0.29008E-02,0.38378,-1.93542,
75,3P-3D,2773719066.2711,97492.59133,97492.62738,4,6,0.38495E-16*,0.66564E-05,243.00,-4.39861,
76,3P-4D,18756.13103732,97492.59133,102824.18129,4,6,0.70376E-01*,0.55645,137.36,0.52357,
77,3P-5D,12821.59717764,97492.59133,105291.93166,4,6,0.33915E-01*,0.12531,21.146,-0.12386,
78,3P-6D,10941.10211154,97492.59133,106632.43839,4,6,0.18778E-01*,0.50522E-01,7.2751,-0.51837,
79,3P-7D,10052.14009376,97492.59133,107440.72169,4,6,0.11496E-01*,0.26108E-01,3.4540,-0.80508,
80,3d-4p,18756.34507032,97492.59133,102824.12045,4,2,0.34759E-02*,0.91613E-02,2.2615,-1.73701,
81,3d-5p,12821.64838647,97492.59133,105291.90051,4,2,0.14956E-02*,0.18420E-02,0.31084,-2.43368,
82,3d-6p,10941.12369086,97492.59133,106632.42037,4,2,0.78253E-03*,0.70181E-03,0.10106,-2.85275,
83,3d-7p,10052.15156451,97492.59133,107440.71033,4,2,0.46369E-03*,0.35102E-03,0.46440E-01,-3.15364,
84,3d-4P,18756.18454419,97492.59133,102824.16609,4,4,0.34754E-03*,0.18320E-02,0.45223,-2.13503,
85,3d-5P,12821.60997960,97492.59133,105291.92388,4,4,0.14954E-03*,0.36835E-03,0.62158E-01,-2.83168,
86,3d-6P,10941.10750628,97492.59133,106632.43389,4,4,0.78242E-04*,0.14034E-03,0.20209E-01,-3.25076,
87,3d-7P,10052.14296140,97492.59133,107440.71885,4,4,0.46362E-04*,0.70194E-04,0.92866E-02,-3.55164,
88,3d-4f,18756.13103732,97492.59133,102824.18129,4,6,0.12869*,1.0175,251.18,0.78569,
89,3d-5f,12821.59717764,97492.59133,105291.93166,4,6,0.42394E-01*,0.15664,26.433,-0.02695,
90,3d-6f,10941.10211154,97492.59133,106632.43839,4,6,0.20030E-01*,0.53891E-01,7.7602,-0.49034,
91,3d-7f,10052.14009376,97492.59133,107440.72169,4,6,0.11266E-01*,0.25586E-01,3.3850,-0.81385,
92,3D-4P,18756.31137637,97492.62738,102824.16609,6,4,0.31280E-02*,0.10992E-01,4.0703,-1.35685,
93,3D-5P,12821.66924820,97492.62738,105291.92388,6,4,0.13459E-02*,0.22102E-02,0.55946,-2.05351,
94,3D-6P,10941.15066433,97492.62738,106632.43389,6,4,0.70421E-03*,0.84209E-03,0.18189,-2.47258,
95,3D-7P,10052.17939117,97492.62738,107440.71885,6,4,0.41727E-03*,0.42118E-03,0.83584E-01,-2.77347,
96,3D-4f,18756.25786878,97492.62738,102824.18129,6,6,0.91919E-02*,0.48453E-01,17.941,-0.53653,
97,3D-5f,12821.65644612,97492.62738,105291.93166,6,6,0.30281E-02*,0.74589E-02,1.8880,-1.34917,
98,3D-6f,10941.14526955,97492.62738,106632.43839,6,6,0.14307E-02*,0.25662E-02,0.55430,-1.81256,
