No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(10^8s^-1),fik,S(a.u.),log(gf),
234,6P-6D,22189727912.616,106632.43389,106632.43839,4,6,0.19248E-17*,0.21301E-04,6220.8,-3.89346,
235,6P-7D,123718.30945140,106632.43389,107440.72169,4,6,0.17041E-02*,0.58624,954.58,0.54623,
236,6d-7p,123720.04704476,106632.43389,107440.71033,4,2,0.51050E-03*,0.58542E-01,95.325,-0.93150,
237,6d-7P,123718.74383862,106632.43389,107440.71885,4,4,0.51044E-04*,0.11707E-01,19.062,-1.32950,
238,6d-6f,22189727912.616,106632.43389,106632.43839,4,6,0.16240E-17*,0.17972E-04,5248.8,-3.96724,
239,6d-7f,123718.30945140,106632.43389,107440.72169,4,6,0.24212E-02*,0.83292,1356.2,0.69876,
240,6D-7P,123719.43363586,106632.43839,107440.71885,6,4,0.45941E-03*,0.70244E-01,171.57,-0.55133,
241,6D-7f,123718.99924379,106632.43839,107440.72169,6,6,0.17294E-03*,0.39664E-01,96.877,-0.62345,
242,6D-6F,44379689692.018,106632.43839,106632.44065,6,8,0.21750E-18*,0.85583E-05,7498.3,-4.16452,
243,6D-7F,123718.78204999,106632.43839,107440.72310,6,8,0.25941E-02*,0.79327,1937.5,0.80251,
244,6f-7d,123719.43363586,106632.43839,107440.71885,6,4,0.25240E-03*,0.38591E-01,94.258,-0.81145,
245,6f-7D,123718.99924379,106632.43839,107440.72169,6,6,0.12018E-04*,0.27564E-02,6.7323,-1.78151,
246,6f-6g,44379689692.018,106632.43839,106632.44065,6,8,0.16111E-18*,0.63395E-05,5554.3,-4.29486,
247,6f-7g,123718.78204999,106632.43839,107440.72310,6,8,0.36292E-02*,1.1098,2710.6,0.94833,
248,6F-7D,123719.34414105,106632.44065,107440.72169,8,6,0.24037E-03*,0.41347E-01,134.65,-0.60541,
249,6F-7g,123719.12694604,106632.44065,107440.72310,8,8,0.13442E-03*,0.30828E-01,100.39,-0.60797,
250,6F-6G,73966317977.476,106632.44065,106632.44200,8,10,0.36089E-19*,0.36980E-05,7200.0,-4.43203,
251,6F-7G,123718.99662968,106632.44065,107440.72396,8,10,0.37636E-02*,1.0790,3513.8,1.03301,
252,6g-7f,123719.34414105,106632.44065,107440.72169,8,6,0.11103E-03*,0.19098E-01,62.194,-0.94087,
253,6g-7F,123719.12694604,106632.44065,107440.72310,8,8,0.30840E-05*,0.70730E-03,2.3034,-2.24730,
254,6g-6h,73966317977.476,106632.44065,106632.44200,8,10,0.19849E-19*,0.20339E-05,3960.0,-4.69167,
255,6g-7h,123718.99662968,106632.44065,107440.72396,8,10,0.52045E-02*,1.4920,4859.0,1.17378,
256,6g-8h,75024.97583780,106632.44065,107965.33011,8,10,0.25206E-02*,0.26573,524.79,0.42445,
257,6G-7F,123719.33388412,106632.44200,107440.72310,10,8,0.10794E-03*,0.19805E-01,80.621,-0.80014,
258,6G-7h,123719.20356733,106632.44200,107440.72396,10,10,0.11828E-03*,0.27128E-01,110.43,-0.56658,
259,6G-8h,75025.05193667,106632.44200,107965.33011,10,10,0.57286E-04*,0.48315E-02,11.927,-1.31592,
260,6G-6H,110949614398.66,106632.44200,106632.44290,10,12,0.60147E-20*,0.13313E-05,4860.0,-4.79655,
261,6G-7H,123719.11668972,106632.44200,107440.72452,10,12,0.53228E-02*,1.4649,5963.3,1.24499,
262,6G-8H,75025.03053386,106632.44200,107965.33049,10,12,0.25779E-02*,0.26090,644.06,0.49566,
263,6h-7g,123719.33388412,106632.44200,107440.72310,10,8,0.33542E-04*,0.61542E-02,25.052,-1.30774,
264,6h-7G,123719.20356733,106632.44200,107440.72396,10,10,0.60984E-06*,0.13987E-03,0.56936,-2.85429,
265,6h-7i,123719.11668972,106632.44200,107440.72452,10,12,0.72955E-02*,2.0079,8173.5,1.38192,
266,6h-8i,75025.03053386,106632.44200,107965.33049,10,12,0.21427E-02*,0.21685,535.32,0.41535,
267,6h-9i,59082.21708302,106632.44200,108324.99866,10,12,0.95266E-03*,0.59794E-01,116.24,-0.14416,
268,6H-7G,123719.34152597,106632.44290,107440.72396,12,10,0.32932E-04*,0.62940E-02,30.746,-1.20107,
269,6H-7i,123719.25464817,106632.44290,107440.72452,12,12,0.11224E-03*,0.25742E-01,125.75,-0.51018,
270,6H-8i,75025.08126643,106632.44290,107965.33049,12,12,0.32964E-04*,0.27802E-02,8.2357,-1.47675,
271,6H-9i,59082.24854514,106632.44290,108324.99866,12,12,0.14656E-04*,0.76658E-03,1.7883,-2.03626,
272,6H-7I,123719.19259272,106632.44290,107440.72493,12,14,0.74078E-02*,1.9821,9682.5,1.44326,
273,6H-8I,75025.06597872,106632.44290,107965.33077,12,14,0.21756E-02*,0.21407,634.15,0.47669,
274,6H-9I,59082.24188649,106632.44290,108324.99885,12,14,0.96732E-03*,0.59027E-01,137.70,-0.08282,
275,7S-7P,11745255295.068,107440.71033,107440.71885,2,4,0.22082E-16*,0.91290E-04,7055.9,-3.43752,
276,7p-7d,11745255295.068,107440.71033,107440.71885,2,4,0.20702E-16*,0.85585E-04,6615.0,-3.46554,
277,7P-7D,35236473259.968,107440.71885,107440.72169,4,6,0.92005E-18*,0.25675E-04,11907.,-3.81234,
278,7d-7f,35236473259.968,107440.71885,107440.72169,4,6,0.81782E-18*,0.22822E-04,10584.,-3.86349,
279,7D-7F,70473301148.521,107440.72169,107440.72310,6,8,0.10953E-18*,0.10868E-04,15120.,-4.06077,
280,7f-7g,70473301148.521,107440.72169,107440.72310,6,8,0.90361E-19*,0.89658E-05,12474.,-4.14432,
281,7F-7G,117455754577.20,107440.72310,107440.72396,8,10,0.20241E-19*,0.52301E-05,16170.,-4.28149,
282,7g-7h,117455754577.20,107440.72310,107440.72396,8,10,0.14721E-19*,0.38037E-05,11760.,-4.41980,
283,7g-8h,190618.87924011,107440.72310,107965.33011,8,10,0.20454E-02*,1.3920,6984.4,1.14364,
284,7G-8h,190619.18859589,107440.72396,107965.33011,10,10,0.46486E-04*,0.25309E-01,158.74,-0.59672,
285,7G-7H,176183836128.22,107440.72396,107440.72452,10,12,0.44608E-20*,0.24897E-05,14433.,-4.52468,
286,7G-8H,190619.05043310,107440.72396,107965.33049,10,12,0.20919E-02*,1.3667,8571.8,1.21485,
287,7h-7i,176183836128.22,107440.72396,107440.72452,10,12,0.24162E-20*,0.13486E-05,7817.7,-4.79094,
288,7h-8i,190619.05043310,107440.72396,107965.33049,10,12,0.27636E-02*,1.8055,11324.,1.33579,
289,7h-9i,113087.03019869,107440.72396,108324.99866,10,12,0.12946E-02*,0.29769,1107.7,0.55295,
290,7H-8i,190619.25667031,107440.72452,107965.33049,12,12,0.42517E-04*,0.23148E-01,174.22,-0.55631,
291,7H-9i,113087.10278585,107440.72452,108324.99866,12,12,0.19917E-04*,0.38165E-02,17.041,-1.33915,
292,7H-7I,246657546658.13,107440.72452,107440.72493,12,14,0.89410E-21*,0.95092E-06,9261.0,-4.87573,
293,7H-8I,190619.15798258,107440.72452,107965.33077,12,14,0.28061E-02*,1.7824,13415.,1.39713,
294,7H-9I,113087.07839099,107440.72452,108324.99885,12,14,0.13145E-02*,0.29387,1312.2,0.61429,
295,7i-8h,190619.39483339,107440.72452,107965.33011,12,10,0.11900E-04*,0.53990E-02,40.635,-1.26768,
296,7i-8H,190619.25667031,107440.72452,107965.33049,12,12,0.15256E-06*,0.83061E-04,0.62515,-3.00142,
297,7i-8k,190619.15798258,107440.72452,107965.33077,12,14,0.36839E-02*,2.3400,17611.,1.51534,
298,7i-9k,113087.07839099,107440.72452,108324.99885,12,14,0.10238E-02*,0.22888,1022.0,0.50574,
299,7i-10k,87600.74432538,107440.72452,108582.26734,12,14,0.43802E-03*,0.58759E-01,203.24,-0.08480,
300,7I-8H,190619.40398276,107440.72493,107965.33049,14,12,0.11747E-04*,0.54821E-02,48.137,-1.18187,
301,7I-8k,190619.30529489,107440.72493,107965.33077,14,14,0.40932E-04*,0.22285E-01,195.68,-0.50585,
302,7I-9k,113087.13023896,107440.72493,108324.99885,14,14,0.11376E-04*,0.21798E-02,11.355,-1.51545,
303,7I-10k,87600.77543691,107440.72493,108582.26734,14,14,0.48668E-05*,0.55961E-03,2.2582,-2.10599,
304,7I-8K,190619.23127908,107440.72493,107965.33097,14,16,0.37248E-02*,2.3177,20351.,1.56917,
305,7I-9K,113087.11194281,107440.72493,108324.99899,14,16,0.10352E-02*,0.22670,1181.0,0.55958,
306,7I-10K,87600.76743347,107440.72493,108582.26744,14,16,0.44288E-03*,0.58199E-01,234.85,-0.03096,
307,8h-8i,262991583564.64,107965.33011,107965.33049,10,12,0.20437E-20*,0.25415E-05,21993.,-4.51572,
308,8h-9i,278033.76537977,107965.33011,108324.99866,10,12,0.12123E-02*,1.6850,15415.,1.30579,
309,8H-9i,278034.05931639,107965.33049,108324.99866,12,12,0.18651E-04*,0.21603E-01,237.16,-0.58630,
310,8H-8I,368188465111.35,107965.33049,107965.33077,12,14,0.75624E-21*,0.17921E-05,26053.,-4.60051,
311,8H-9I,278033.91185848,107965.33049,108324.99885,12,14,0.12310E-02*,1.6634,18261.,1.36714,
312,8i-8k,368188465111.35,107965.33049,107965.33077,12,14,0.40513E-21*,0.96006E-06,13957.,-4.87157,
313,8i-9k,278033.91185848,107965.33049,108324.99885,12,14,0.15714E-02*,2.1235,23311.,1.47318,
314,8i-10k,162091.14640639,107965.33049,108582.26734,12,14,0.70831E-03*,0.32532,2082.0,0.65844,
315,8I-9k,278034.12181323,107965.33077,108324.99885,14,14,0.17460E-04*,0.20224E-01,259.02,-0.54801,
316,8I-10k,162091.21776537,107965.33077,108582.26734,14,14,0.78701E-05*,0.30983E-02,23.134,-1.36275,
317,8I-8K,490918174492.45,107965.33077,107965.33097,14,16,0.17281E-21*,0.71319E-06,16128.,-4.94268,
318,8I-9K,278034.01121978,107965.33077,108324.99899,14,16,0.15889E-02*,2.1033,26938.,1.52702,
319,8I-10K,162091.19036352,107965.33077,108582.26744,14,16,0.71618E-03*,0.32222,2405.9,0.71227,
320,8k-9i,278034.26927136,107965.33077,108324.99866,14,12,0.48340E-05*,0.47993E-02,61.467,-1.23965,
321,8k-9I,278034.12181323,107965.33077,108324.99885,14,14,0.46037E-07*,0.53325E-04,0.68296,-3.12694,
322,8k-9l,278034.01121978,107965.33077,108324.99899,14,16,0.20188E-02*,2.6724,34227.,1.63102,
323,8k-10l,162091.19036352,107965.33077,108582.26744,14,16,0.53050E-03*,0.23868,1782.2,0.58194,
324,8k-11l,123871.80004139,107965.33077,108772.61701,14,16,0.21783E-03*,0.57237E-01,326.60,-0.03820,
325,8K-9I,278034.27927942,107965.33097,108324.99885,16,14,0.47879E-05*,0.48526E-02,71.028,-1.16790,
326,8K-9l,278034.16868585,107965.33097,108324.99899,16,16,0.16965E-04*,0.19650E-01,287.62,-0.50252,
327,8K-10l,162091.24388275,107965.33097,108582.26744,16,16,0.44580E-05*,0.17550E-02,14.976,-1.55160,
328,8K-11l,123871.83129757,107965.33097,108772.61701,16,16,0.18305E-05*,0.42086E-03,2.7445,-2.17174,
329,8K-9L,278034.08266871,107965.33097,108324.99910,16,18,0.20358E-02*,2.6527,38829.,1.67897,
330,8K-10L,162091.22257020,107965.33097,108582.26752,16,18,0.53496E-03*,0.23693,2021.8,0.62989,
331,8K-11L,123871.82194602,107965.33097,108772.61707,16,18,0.21966E-03*,0.56816E-01,370.51,0.00974,
332,9i-9k,524237044611.41,108324.99866,108324.99885,12,14,0.37895E-21*,0.18206E-05,37684.,-4.59367,
333,9i-10k,388698.69907098,108324.99866,108582.26734,12,14,0.75184E-03*,1.9857,30475.,1.44405,
334,9I-10k,388698.98727418,108324.99885,108582.26734,14,14,0.83537E-05*,0.18912E-01,338.62,-0.57714,
335,9I-9K,698983024075.12,108324.99885,108324.99899,14,16,0.16165E-21*,0.13524E-05,43546.,-4.66477,
336,9I-10K,388698.82969908,108324.99885,108582.26744,14,16,0.76019E-03*,1.9668,35216.,1.49788,
337,9k-9l,698983024075.12,108324.99885,108324.99899,14,16,0.85874E-22*,0.71847E-06,23134.,-4.93947,
338,9k-10l,388698.82969908,108324.99885,108582.26744,14,16,0.94484E-03*,2.4445,43770.,1.59232,
339,9k-11l,223404.69932013,108324.99885,108772.61701,14,16,0.40874E-03*,0.34933,3595.0,0.74736,
340,9K-10l,388699.04585149,108324.99899,108582.26744,16,16,0.79398E-05*,0.17975E-01,367.82,-0.54122,
341,9K-11l,223404.77072340,108324.99899,108772.61701,16,16,0.34348E-05*,0.25686E-02,30.210,-1.38618,
342,9K-9L,898692729289.80,108324.99899,108324.99910,16,18,0.40744E-22*,0.55470E-06,26244.,-5.00067,
343,9K-10L,388698.92329307,108324.99899,108582.26752,16,18,0.95278E-03*,2.4266,49655.,1.64027,
344,9K-11L,223404.74030593,108324.99899,108772.61707,16,18,0.41217E-03*,0.34677,4078.4,0.79531,
345,9l-10k,388699.20342676,108324.99899,108582.26734,16,14,0.21783E-05*,0.43149E-02,88.297,-1.21890,
346,9l-10K,388699.04585149,108324.99899,108582.26744,16,16,0.16017E-07*,0.36260E-04,0.74199,-3.23646,
347,9l-10m,388698.92329307,108324.99899,108582.26752,16,18,0.11799E-02*,3.0050,61493.,1.73312,
348,9l-11m,223404.74030593,108324.99899,108772.61707,16,18,0.29337E-03*,0.24682,2902.8,0.64764,
349,9l-12m,168806.42188798,108324.99899,108917.39352,16,18,0.11549E-03*,0.55474E-01,492.99,-0.00064,
350,9L-10K,388699.21397015,108324.99910,108582.26744,18,16,0.21623E-05*,0.43512E-02,100.17,-1.15727,
351,9L-10m,388699.09141162,108324.99910,108582.26752,18,18,0.77626E-05*,0.17573E-01,404.56,-0.49987,
352,9L-11m,223404.79584181,108324.99910,108772.61707,18,18,0.19301E-05*,0.14434E-02,19.098,-1.58535,
353,9L-12m,168806.45359583,108324.99910,108917.39352,18,18,0.75979E-06*,0.32441E-03,3.2433,-2.23364,
354,9L-10M,388698.99336488,108324.99910,108582.26759,18,20,0.11877E-02*,2.9875,68775.,1.77633,
355,9L-11M,223404.77150783,108324.99910,108772.61712,18,20,0.29530E-03*,0.24537,3246.6,0.69085,
356,9L-12M,168806.44289443,108324.99910,108917.39355,18,20,0.11625E-03*,0.55149E-01,551.37,0.04257,
357,10k-10l,958824383185.56,108582.26734,108582.26744,14,16,0.86979E-22*,0.13693E-05,60480.,-4.65937,
358,10k-11l,525348.94855029,108582.26734,108772.61701,14,16,0.48496E-03*,2.2920,55466.,1.56433,
359,10K-11l,525349.23639411,108582.26744,108772.61701,16,16,0.40753E-05*,0.16853E-01,466.10,-0.56921,
360,10K-10L,1232774562922.2,108582.26744,108582.26752,16,18,0.41268E-22*,0.10572E-05,68612.,-4.72057,
361,10K-11L,525349.06819086,108582.26744,108772.61707,16,18,0.48903E-03*,2.2751,62924.,1.61228,
362,10l-10m,1232774562922.2,108582.26744,108582.26752,16,18,0.21780E-22*,0.55796E-06,36212.,-4.99812,
363,10l-11m,525349.06819086,108582.26744,108772.61707,16,18,0.59494E-03*,2.7678,76550.,1.69741,
364,10l-12m,298395.16186933,108582.26744,108917.39352,16,18,0.24674E-03*,0.37034,5817.7,0.82387,
365,10L-11m,525349.29206939,108582.26752,108772.61707,18,18,0.39140E-05*,0.16186E-01,503.62,-0.53558,
366,10L-12m,298395.23409640,108582.26752,108917.39352,18,18,0.16233E-05*,0.21657E-02,38.274,-1.40912,
367,10L-10M,1540968525326.4,108582.26752,108582.26759,18,20,0.11225E-22*,0.44376E-06,40500.,-5.05182,
368,10L-11M,525349.15750679,108582.26752,108772.61712,18,20,0.59885E-03*,2.7516,85615.,1.74062,
369,10L-12M,298395.20065794,108582.26752,108917.39355,18,20,0.24836E-03*,0.36817,6506.6,0.86708,
370,10m-11l,525349.46027278,108582.26752,108772.61701,18,16,0.10656E-05*,0.39171E-02,121.88,-1.20292,
371,10m-11L,525349.29206939,108582.26752,108772.61707,18,18,0.62316E-08*,0.25770E-04,0.80182,-3.33361,
372,10m-11n,525349.15750679,108582.26752,108772.61712,18,20,0.72642E-03*,3.3378,0.10385E+06,1.82449,
373,10m-12n,298395.20065794,108582.26752,108917.39355,18,20,0.17112E-03*,0.25367,4483.0,0.70530,
374,10m-13n,223315.89991496,108582.26752,109030.06367,18,20,0.64573E-04*,0.53613E-01,709.09,0.03030,
375,10M-11L,525349.47117232,108582.26759,108772.61707,20,18,0.10594E-05*,0.39428E-02,136.31,-1.14892,
376,10M-11n,525349.33660962,108582.26759,108772.61712,20,20,0.38435E-05*,0.15894E-01,549.49,-0.49772,
377,10M-12n,298395.25843959,108582.26759,108917.39355,20,20,0.90541E-06*,0.12079E-02,23.720,-1.61692,
378,10M-13n,223315.93227772,108582.26759,109030.06367,20,20,0.34165E-06*,0.25530E-03,3.7518,-2.29192,
379,10M-11N,525349.22651294,108582.26759,108772.61716,20,22,0.73027E-03*,3.3219,0.11484E+06,1.86381,
380,10M-12N,298395.23108085,108582.26759,108917.39359,20,22,0.17203E-03*,0.25246,4957.4,0.74462,
381,10M-13N,223315.92022554,108582.26759,109030.06369,20,22,0.64915E-04*,0.53357E-01,784.12,0.06962,
382,11l-11m,1640822855491.7,108772.61701,108772.61707,16,18,0.23530E-22*,0.10679E-05,92245.,-4.71621,
383,11l-12m,690719.78883829,108772.61701,108917.39352,16,18,0.32361E-03*,2.6025,94636.,1.67067,
384,11L-12m,690720.07960340,108772.61707,108917.39352,18,18,0.21290E-05*,0.15219E-01,622.61,-0.56233,
385,11L-11M,2051028980755.6,108772.61707,108772.61712,18,20,0.12127E-22*,0.84930E-06,0.10317E+06,-4.76991,
386,11L-12M,690719.90043286,108772.61707,108917.39355,18,20,0.32574E-03*,2.5873,0.10584E+06,1.71388,
387,11m-11n,2051028980755.6,108772.61707,108772.61712,18,20,0.63665E-23*,0.44588E-06,54163.,-5.04975,
388,11m-12n,690719.90043286,108772.61707,108917.39355,18,20,0.38937E-03*,3.0928,0.12652E+06,1.79138,
389,11m-13n,388430.06427638,108772.61707,109030.06367,18,20,0.15480E-03*,0.38883,8945.1,0.89079,
390,11M-12n,690720.13304495,108772.61712,108917.39355,20,20,0.20602E-05*,0.14728E-01,669.43,-0.53084,
391,11M-13n,388430.13783845,108772.61712,109030.06367,20,20,0.81902E-06*,0.18516E-02,47.329,-1.43143,
392,11M-11N,2506813592168.0,108772.61712,108772.61716,20,22,0.35054E-23*,0.36308E-06,59895.,-5.09758,
393,11M-12N,690719.98645087,108772.61712,108917.39359,20,22,0.39143E-03*,3.0781,0.13991E+06,1.83070,
394,11M-13N,388430.10137550,108772.61712,109030.06369,20,22,0.15561E-03*,0.38698,9891.7,0.93011,
395,11n-12m,690720.31221561,108772.61712,108917.39352,20,18,0.55723E-06*,0.35851E-02,162.96,-1.19023,
396,11n-12M,690720.13304495,108772.61712,108917.39355,20,20,0.26535E-08*,0.18969E-04,0.86220,-3.42093,
397,11n-12o,690719.98645087,108772.61712,108917.39359,20,22,0.46680E-03*,3.6707,0.16685E+06,1.90718,
398,11n-13o,388430.10137550,108772.61712,109030.06369,20,22,0.10436E-03*,0.25952,6633.7,0.75660,
399,11n-14o,288311.67561670,108772.61712,109119.46398,20,22,0.37763E-04*,0.51737E-01,981.60,0.05623,
400,11N-12M,690720.32336403,108772.61716,108917.39355,22,20,0.55457E-06*,0.36041E-02,180.20,-1.14218,
401,11N-12o,690720.17676986,108772.61716,108917.39359,22,22,0.20296E-05*,0.14509E-01,725.43,-0.49595,
402,11N-13o,388430.16156265,108772.61716,109030.06369,22,22,0.45374E-06*,0.10258E-02,28.842,-1.64652,
403,11N-14o,288311.70877578,108772.61716,109119.46398,22,22,0.16419E-06*,0.20450E-03,4.2678,-2.34689,
404,11N-12O,690720.05460812,108772.61716,108917.39361,22,24,0.46883E-03*,3.6562,0.18281E+06,1.94324,
405,11N-13O,388430.13117686,108772.61716,109030.06371,22,24,0.10481E-03*,0.25850,7268.3,0.79267,
406,11N-14O,288311.69537237,108772.61716,109119.46400,22,24,0.37927E-04*,0.51533E-01,1075.5,0.09230,
407,12m-12n,2662793342456.8,108917.39352,108917.39355,18,20,0.72546E-23*,0.85638E-06,0.13506E+06,-4.76630,
408,12m-13n,887546.49943397,108917.39352,109030.06367,18,20,0.22237E-03*,2.9164,0.15330E+06,1.76587,
409,12M-13n,887546.79526581,108917.39355,109030.06367,20,20,0.11766E-05*,0.13888E-01,811.12,-0.55634,
410,12M-12N,3254525679074.0,108917.39355,108917.39359,20,22,0.39944E-23*,0.69734E-06,0.14935E+06,-4.81413,
411,12M-13N,887546.60489146,108917.39355,109030.06369,20,22,0.22355E-03*,2.9025,0.16952E+06,1.80519,
412,12n-12o,3254525679074.0,108917.39355,108917.39359,20,22,0.20880E-23*,0.36452E-06,78069.,-5.09586,
413,12n-13o,887546.60489146,108917.39355,109030.06369,20,22,0.26333E-03*,3.4190,0.19969E+06,1.87633,
414,12n-14o,494876.97205242,108917.39355,109119.46398,20,22,0.10039E-03*,0.40522,13196.,0.95011,
415,12N-13o,887546.84693570,108917.39359,109030.06369,22,22,0.11449E-05*,0.13514E-01,868.23,-0.52679,
416,12N-14o,494877.04730248,108917.39359,109119.46398,22,22,0.43647E-06*,0.16017E-02,57.376,-1.45301,
417,12N-12O,3905431259850.5,108917.39359,108917.39361,22,24,0.12136E-23*,0.30256E-06,85536.,-5.13897,
418,12N-13O,887546.68829041,108917.39359,109030.06371,22,24,0.26448E-03*,3.4055,0.21879E+06,1.91239,
419,12N-14O,494877.00781266,108917.39359,109119.46400,22,24,0.10082E-03*,0.40362,14459.,0.98618,
420,12o-13n,887547.03731015,108917.39359,109030.06367,22,20,0.30793E-06*,0.33042E-02,212.29,-1.17990,
421,12o-13N,887546.84693570,108917.39359,109030.06369,22,22,0.12171E-08*,0.14366E-04,0.92298,-3.50024,
422,12o-13q,887546.68829041,108917.39359,109030.06371,22,24,0.31094E-03*,4.0037,0.25723E+06,1.98267,
423,12o-14q,494877.00781266,108917.39359,109119.46400,22,24,0.66092E-04*,0.26458,9477.9,0.80276,
424,12o-15q,364705.28584536,108917.39359,109191.58758,22,24,0.22949E-04*,0.49896E-01,1317.3,0.07828,
425,12O-13N,887547.04863931,108917.39361,109030.06369,24,22,0.30672E-06*,0.33186E-02,232.59,-1.13663,
426,12O-13q,887546.88999395,108917.39361,109030.06371,24,24,0.11307E-05*,0.13346E-01,935.37,-0.49445,
427,12O-14q,494877.07052104,108917.39361,109119.46400,24,24,0.24033E-06*,0.88193E-03,34.465,-1.67436,
428,12O-15q,364705.31990304,108917.39361,109191.58758,24,24,0.83452E-07*,0.16632E-03,4.7900,-2.39885,
429,12O-13Q,887546.75575562,108917.39361,109030.06373,24,26,0.31207E-03*,3.9904,0.27968E+06,2.01599,
430,12O-14Q,494877.03710657,108917.39361,109119.46401,24,26,0.66332E-04*,0.26370,10305.,0.83608,
431,12O-15Q,364705.30514821,108917.39361,109191.58759,24,26,0.23033E-04*,0.49730E-01,1432.2,0.11159,
432,13n-13o,4137842985718.6,109030.06367,109030.06369,20,22,0.24883E-23*,0.70222E-06,0.19121E+06,-4.81111,
433,13n-14o,1118564.3628064,109030.06367,109119.46398,20,22,0.15677E-03*,3.2329,0.23797E+06,1.85201,
434,13N-14o,1118564.6651829,109030.06369,109119.46398,22,22,0.68159E-06*,0.12778E-01,1034.6,-0.55111,
435,13N-13O,4965412141864.5,109030.06369,109030.06371,22,24,0.14463E-23*,0.58287E-06,0.20950E+06,-4.85422,
436,13N-14O,1118564.4634333,109030.06369,109119.46400,22,24,0.15745E-03*,3.2201,0.26073E+06,1.88808,
437,13o-13q,4965412141864.5,109030.06369,109030.06371,22,24,0.75326E-24*,0.30358E-06,0.10912E+06,-5.13752,
438,13o-14q,1118564.4634333,109030.06369,109119.46400,22,24,0.18318E-03*,3.7463,0.30334E+06,1.95381,
439,13o-15q,619103.47340750,109030.06369,109191.58758,22,24,0.67009E-04*,0.41982,18815.,1.00328,
440,13O-14q,1118564.7154137,109030.06371,109119.46400,24,24,0.66609E-06*,0.12488E-01,1103.0,-0.52331,
441,13O-15q,619103.55059931,109030.06371,109191.58758,24,24,0.24367E-06*,0.13994E-02,68.416,-1.47384,
442,13O-13Q,5868214881179.3,109030.06371,109030.06373,24,26,0.45801E-24*,0.25602E-06,0.11864E+06,-5.17676,
443,13O-14Q,1118564.5447025,109030.06371,109119.46401,24,26,0.18384E-03*,3.7338,0.32981E+06,1.98712,
444,13O-15Q,619103.50808091,109030.06371,109191.58759,24,26,0.67252E-04*,0.41843,20457.,1.03659,
445,13q-14o,1118564.9171634,109030.06371,109119.46398,24,22,0.17827E-06*,0.30637E-02,270.61,-1.17134,
446,13q-14O,1118564.7154137,109030.06371,109119.46400,24,24,0.59424E-09*,0.11141E-04,0.98405,-3.57288,
447,13q-14r,1118564.5447025,109030.06371,109119.46401,24,26,0.21353E-03*,4.3367,0.38307E+06,2.05214,
448,13q-15r,619103.50808091,109030.06371,109191.58759,24,26,0.43234E-04*,0.26899,13151.,0.84471,
449,13q-16r,453408.32993059,109030.06371,109250.61546,24,26,0.14419E-04*,0.48115E-01,1722.8,0.09726,
450,13Q-14O,1118564.9286280,109030.06373,109119.46400,26,24,0.17768E-06*,0.30748E-02,294.23,-1.13197,
451,13Q-14r,1118564.7579167,109030.06373,109119.46401,26,26,0.65904E-06*,0.12355E-01,1182.3,-0.49317,
452,13Q-15r,619103.57339706,109030.06373,109191.58759,26,26,0.13344E-06*,0.76635E-03,40.588,-1.70060,
453,13Q-16r,453408.36496324,109030.06373,109250.61546,26,26,0.44502E-07*,0.13708E-03,5.3171,-2.44805,
454,13Q-14R,1118564.6115928,109030.06373,109119.46402,26,28,0.21419E-03*,4.3244,0.41381E+06,2.08308,
455,13Q-15R,619103.53695272,109030.06373,109191.58760,26,28,0.43367E-04*,0.26822,14206.,0.87565,
456,13Q-16R,453408.34885692,109030.06373,109250.61547,26,28,0.14463E-04*,0.47978E-01,1861.0,0.12820,
457,14o-14q,6201679786173.9,109119.46398,109119.46400,22,24,0.93265E-24*,0.58634E-06,0.26322E+06,-4.85164,
458,14o-15q,1386508.6634339,109119.46398,109191.58758,22,24,0.11302E-03*,3.5515,0.35645E+06,1.93062,
459,14O-15q,1386508.9734155,109119.46400,109191.58758,24,24,0.41098E-06*,0.11838E-01,1296.2,-0.54650,
460,14O-14Q,7329258605233.9,109119.46400,109119.46401,24,26,0.56708E-24*,0.49448E-06,0.28619E+06,-4.89088,
461,14O-15Q,1386508.7601623,109119.46400,109191.58759,24,26,0.11343E-03*,3.5397,0.38756E+06,1.96393,
462,14q-14r,7329258605233.9,109119.46400,109119.46401,24,26,0.29444E-24*,0.25675E-06,0.14860E+06,-5.17552,
463,14q-15r,1386508.7601623,109119.46400,109191.58759,24,26,0.13057E-03*,4.0743,0.44610E+06,2.02503,
464,14q-16r,762477.17169045,109119.46400,109250.61546,24,26,0.45874E-04*,0.43292,26067.,1.05138,
465,14Q-15r,1386509.0224544,109119.46401,109191.58759,26,26,0.40298E-06*,0.11608E-01,1376.8,-0.52028,
466,14Q-16r,762477.25101245,109119.46401,109250.61546,26,26,0.14159E-06*,0.12334E-02,80.452,-1.49393,
467,14Q-14R,8550802302296.7,109119.46401,109119.46402,26,28,0.18599E-24*,0.21944E-06,0.16052E+06,-5.21152,
468,14Q-15R,1386508.8396660,109119.46401,109191.58760,26,28,0.13097E-03*,4.0627,0.48190E+06,2.05598,
469,14Q-16R,762477.20546427,109119.46401,109250.61547,26,28,0.46016E-04*,0.43168,28158.,1.08232,
470,14r-15q,1386509.2357077,109119.46401,109191.58758,26,24,0.10739E-06*,0.28554E-02,338.69,-1.16412,
