No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(s^-1),
1,1S-3d,1025.71896628,0.00000,97492.59133,2,4,593.75*,
2,1S-4d,972.53402393,0.00000,102824.16609,2,4,326.79*,
3,1S-5d,949.74045794,0.00000,105291.92388,2,4,184.51*,
4,1S-6d,937.80097063,0.00000,106632.43389,2,4,112.06*,
5,1S-7d,930.74582032,0.00000,107440.71885,2,4,72.545*,
6,1S-8d,926.22328913,0.00000,107965.32669,2,4,49.452*,
7,1S-9d,923.14796864,0.00000,108324.99599,2,4,35.140*,
8,1S-10d,920.96070910,0.00000,108582.26525,2,4,25.829*,
9,1S-11d,919.34904449,0.00000,108772.61536,2,4,19.524*,
10,1S-12d,918.12701330,0.00000,108917.39220,2,4,15.107*,
11,1S-13d,917.17823148,0.00000,109030.06261,2,4,11.924*,
12,1S-14d,916.42679638,0.00000,109119.46311,2,4,9.5737*,
13,1S-15d,915.82147375,0.00000,109191.58686,2,4,7.8012*,
14,1S-16d,915.32665631,0.00000,109250.61486,2,4,6.4398*,
15,1S-17d,914.91696881,0.00000,109299.53582,2,4,5.3770*,
16,1S-18d,914.57392906,0.00000,109340.53205,2,4,4.5354*,
17,1S-19d,914.28381547,0.00000,109375.22715,2,4,3.8605*,
18,1S-20d,914.03626683,0.00000,109404.84927,2,4,3.3129*,
19,1S-21d,913.82334039,0.00000,109430.34127,2,4,2.8640*,
20,1S-22d,913.63886437,0.00000,109452.43673,2,4,2.4927*,
21,1S-23d,913.47798413,0.00000,109471.71332,2,4,2.1827*,
22,1S-24d,913.33683854,0.00000,109488.63090,2,4,1.9221*,
23,1S-25d,913.21232550,0.00000,109503.55926,2,4,1.7014*,
24,1S-3D,1025.71858697,0.00000,97492.62738,2,6,593.74*,
25,1S-4D,972.53388007,0.00000,102824.18129,2,6,326.78*,
26,1S-5D,949.74038770,0.00000,105291.93166,2,6,184.51*,
27,1S-6D,937.80093099,0.00000,106632.43839,2,6,112.06*,
28,1S-7D,930.74579574,0.00000,107440.72169,2,6,72.543*,
29,1S-8D,926.22327282,0.00000,107965.32859,2,6,49.451*,
30,1S-9D,923.14795726,0.00000,108324.99732,2,6,35.139*,
31,1S-10D,920.96070084,0.00000,108582.26622,2,6,25.829*,
32,1S-11D,919.34903831,0.00000,108772.61609,2,6,19.523*,
33,1S-12D,918.12700856,0.00000,108917.39277,2,6,15.107*,
34,1S-13D,917.17822775,0.00000,109030.06305,2,6,11.924*,
35,1S-14D,916.42679341,0.00000,109119.46346,2,6,9.5735*,
36,1S-15D,915.82147133,0.00000,109191.58715,2,6,7.8010*,
37,1S-16D,915.32665432,0.00000,109250.61510,2,6,6.4396*,
38,1S-17D,914.91696715,0.00000,109299.53601,2,6,5.3769*,
39,1S-18D,914.57392766,0.00000,109340.53221,2,6,4.5353*,
40,1S-19D,914.28381429,0.00000,109375.22730,2,6,3.8604*,
41,1S-20D,914.03626581,0.00000,109404.84939,2,6,3.3128*,
42,1S-21D,913.82333952,0.00000,109430.34138,2,6,2.8640*,
43,1S-22D,913.63886361,0.00000,109452.43682,2,6,2.4926*,
44,1S-23D,913.47798347,0.00000,109471.71340,2,6,2.1827*,
45,1S-24D,913.33683796,0.00000,109488.63097,2,6,1.9221*,
46,1S-25D,913.21232498,0.00000,109503.55932,2,6,1.7013*,
47,2S-3d,6564.52272941,82259.19141,97492.59133,2,4,51.007*,
48,2S-4d,4862.63667230,82259.19141,102824.16609,2,4,5.1491*,
49,2S-5d,4341.64726932,82259.19141,105291.92388,2,4,0.96388*,
50,2S-6d,4102.85993380,82259.19141,106632.43389,2,4,0.25376*,
51,2S-7d,3971.16498443,82259.19141,107440.71885,2,4,0.83368E-01*,
52,2S-8d,3890.12190755,82259.19141,107965.32669,2,4,0.32036E-01*,
53,2S-9d,3836.44401672,82259.19141,108324.99599,2,4,0.13843E-01*,
54,2S-10d,3798.94842919,82259.19141,108582.26525,2,4,0.65531E-02*,
55,2S-11d,3771.67431094,82259.19141,108772.61536,2,4,0.33375E-02*,
56,2S-12d,3751.19089218,82259.19141,108917.39220,2,4,0.18049E-02*,
57,2S-13d,3735.40327769,82259.19141,109030.06261,2,4,0.10263E-02*,
58,2S-14d,3722.97053197,82259.19141,109119.46311,2,4,0.60885E-03*,
59,2S-15d,3713.00058312,82259.19141,109191.58686,2,4,0.37465E-03*,
60,2S-16d,3704.88055959,82259.19141,109250.61486,2,4,0.23797E-03*,
61,2S-17d,3698.17774939,82259.19141,109299.53582,2,4,0.15542E-03*,
62,2S-18d,3692.57937982,82259.19141,109340.53205,2,4,0.10403E-03*,
63,2S-19d,3687.85470564,82259.19141,109375.22715,2,4,0.71177E-04*,
64,2S-20d,3683.83041335,82259.19141,109404.84927,2,4,0.49664E-04*,
65,2S-21d,3680.37423994,82259.19141,109430.34127,2,4,0.35273E-04*,
66,2S-22d,3677.38380712,82259.19141,109452.43673,2,4,0.25457E-04*,
67,2S-23d,3674.77885213,82259.19141,109471.71332,2,4,0.18643E-04*,
68,2S-24d,3672.49572151,82259.19141,109488.63090,2,4,0.13836E-04*,
69,2S-25d,3670.48340327,82259.19141,109503.55926,2,4,0.10396E-04*,
70,2S-3D,6564.50719328,82259.19141,97492.62738,2,6,51.007*,
71,2S-4D,4862.63307593,82259.19141,102824.18129,2,6,5.1493*,
72,2S-5D,4341.64580140,82259.19141,105291.93166,2,6,0.96398*,
73,2S-6D,4102.85917518,82259.19141,106632.43839,2,6,0.25380*,
74,2S-7D,3971.16453688,82259.19141,107440.72169,2,6,0.83387E-01*,
75,2S-8D,3890.12161983,82259.19141,107965.32859,2,6,0.32046E-01*,
76,2S-9D,3836.44382019,82259.19141,108324.99732,2,6,0.13848E-01*,
77,2S-10D,3798.94828871,82259.19141,108582.26622,2,6,0.65563E-02*,
78,2S-11D,3771.67420690,82259.19141,108772.61609,2,6,0.33395E-02*,
79,2S-12D,3751.19081291,82259.19141,108917.39277,2,6,0.18062E-02*,
80,2S-13D,3735.40321586,82259.19141,109030.06305,2,6,0.10271E-02*,
81,2S-14D,3722.97048280,82259.19141,109119.46346,2,6,0.60944E-03*,
82,2S-15D,3713.00054336,82259.19141,109191.58715,2,6,0.37507E-03*,
83,2S-16D,3704.88052697,82259.19141,109250.61510,2,6,0.23828E-03*,
84,2S-17D,3698.17772229,82259.19141,109299.53601,2,6,0.15564E-03*,
85,2S-18D,3692.57935706,82259.19141,109340.53221,2,6,0.10420E-03*,
86,2S-19D,3687.85468634,82259.19141,109375.22730,2,6,0.71306E-04*,
87,2S-20D,3683.83039684,82259.19141,109404.84939,2,6,0.49764E-04*,
88,2S-21D,3680.37422571,82259.19141,109430.34138,2,6,0.35351E-04*,
89,2S-22D,3677.38379476,82259.19141,109452.43682,2,6,0.25519E-04*,
90,2S-23D,3674.77884133,82259.19141,109471.71340,2,6,0.18692E-04*,
91,2S-24D,3672.49571202,82259.19141,109488.63097,2,6,0.13876E-04*,
92,2S-25D,3670.48339487,82259.19141,109503.55932,2,6,0.10428E-04*,
93,2p-2P,273940977.11562,82259.19141,82259.55646,2,4,0.13095E-21*,
94,2p-3P,6564.52272941,82259.19141,97492.59133,2,4,11.954*,
95,2p-4P,4862.63667230,82259.19141,102824.16609,2,4,5.1485*,
96,2p-5P,4341.64726932,82259.19141,105291.92388,2,4,2.6351*,
97,2p-6P,4102.85993380,82259.19141,106632.43389,2,4,1.5222*,
98,2p-7P,3971.16498443,82259.19141,107440.71885,2,4,0.95705*,
99,2p-8P,3890.12190755,82259.19141,107965.32669,2,4,0.64039*,
100,2p-9P,3836.44401672,82259.19141,108324.99599,2,4,0.44937*,
101,2p-10P,3798.94842919,82259.19141,108582.26525,2,4,0.32738*,
102,2p-11P,3771.67431094,82259.19141,108772.61536,2,4,0.24584*,
103,2p-12P,3751.19089218,82259.19141,108917.39220,2,4,0.18928*,
104,2p-13P,3735.40327769,82259.19141,109030.06261,2,4,0.14883*,
105,2p-14P,3722.97053197,82259.19141,109119.46311,2,4,0.11913*,
106,2p-15P,3713.00058312,82259.19141,109191.58686,2,4,0.96838E-01*,
107,2p-16P,3704.88055959,82259.19141,109250.61486,2,4,0.79778E-01*,
108,2p-17P,3698.17774939,82259.19141,109299.53582,2,4,0.66502E-01*,
109,2p-18P,3692.57937982,82259.19141,109340.53205,2,4,0.56016E-01*,
110,2p-19P,3687.85470564,82259.19141,109375.22715,2,4,0.47624E-01*,
111,2p-20P,3683.83041335,82259.19141,109404.84927,2,4,0.40828E-01*,
112,2p-21P,3680.37423994,82259.19141,109430.34127,2,4,0.35266E-01*,
113,2p-22P,3677.38380712,82259.19141,109452.43673,2,4,0.30670E-01*,
114,2p-23P,3674.77885213,82259.19141,109471.71332,2,4,0.26840E-01*,
115,2p-24P,3672.49572151,82259.19141,109488.63090,2,4,0.23621E-01*,
116,2p-25P,3670.48340327,82259.19141,109503.55926,2,4,0.20898E-01*,
117,2p-4f,4862.63307593,82259.19141,102824.18129,2,6,48.051*,
118,2p-5f,4341.64580140,82259.19141,105291.93166,2,6,32.123*,
119,2p-6f,4102.85917518,82259.19141,106632.43839,2,6,20.548*,
120,2p-7f,3971.16453688,82259.19141,107440.72169,2,6,13.611*,
121,2p-8f,3890.12161983,82259.19141,107965.32859,2,6,9.3921*,
122,2p-9f,3836.44382019,82259.19141,108324.99732,2,6,6.7229*,
123,2p-10f,3798.94828871,82259.19141,108582.26622,2,6,4.9650*,
124,2p-11f,3771.67420690,82259.19141,108772.61609,2,6,3.7652*,
125,2p-12f,3751.19081291,82259.19141,108917.39277,2,6,2.9203*,
126,2p-13f,3735.40321586,82259.19141,109030.06305,2,6,2.3090*,
127,2p-14f,3722.97048280,82259.19141,109119.46346,2,6,1.8564*,
128,2p-15f,3713.00054336,82259.19141,109191.58715,2,6,1.5143*,
129,2p-16f,3704.88052697,82259.19141,109250.61510,2,6,1.2511*,
130,2p-17f,3698.17772229,82259.19141,109299.53601,2,6,1.0453*,
131,2p-18f,3692.57935706,82259.19141,109340.53221,2,6,0.88223*,
132,2p-19f,3687.85468634,82259.19141,109375.22730,2,6,0.75129*,
133,2p-20f,3683.83039684,82259.19141,109404.84939,2,6,0.64498*,
134,2p-21f,3680.37422571,82259.19141,109430.34138,2,6,0.55779*,
135,2p-22f,3677.38379476,82259.19141,109452.43682,2,6,0.48560*,
136,2p-23f,3674.77884133,82259.19141,109471.71340,2,6,0.42534*,
137,2p-24f,3672.49571202,82259.19141,109488.63097,2,6,0.37463*,
138,2p-25f,3670.48339487,82259.19141,109503.55932,2,6,0.33166*,
139,2P-3p,6564.72665287,82259.55646,97492.48317,4,2,23.908*,
140,2P-4p,4862.73377870,82259.55646,102824.12045,4,2,10.297*,
141,2P-5p,4341.72048447,82259.55646,105291.90051,4,2,5.2699*,
142,2P-6p,4102.92365990,82259.55646,106632.42037,4,2,3.0441*,
143,2P-7p,3971.22389569,82259.55646,107440.71033,4,2,1.9139*,
144,2P-8p,3890.17801351,82259.55646,107965.32099,4,2,1.2807*,
145,2P-9p,3836.49833510,82259.55646,108324.99198,4,2,0.89866*,
146,2P-10p,3799.00153431,82259.55646,108582.26233,4,2,0.65469*,
147,2P-11p,3771.72655295,82259.55646,108772.61317,4,2,0.49163*,
148,2P-12p,3751.24249735,82259.55646,108917.39051,4,2,0.37853*,
149,2P-13p,3735.45439905,82259.55646,109030.06128,4,2,0.29763*,
150,2P-14p,3723.02127687,82259.55646,109119.46204,4,2,0.23824*,
151,2P-15p,3713.05102917,82259.55646,109191.58600,4,2,0.19366*,
152,2P-16p,3704.93076433,82259.55646,109250.61415,4,2,0.15954*,
153,2P-17p,3698.22775641,82259.55646,109299.53522,4,2,0.13299*,
